,REF_DATE,GEO,New housing price indexes,UOM,HPI_charlottetown_pei
312,2007-01,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",100.0
313,2007-02,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",100.0
314,2007-03,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",100.0
315,2007-04,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",99.2
316,2007-05,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",100.0
317,2007-06,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",100.0
318,2007-07,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",100.0
319,2007-08,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",100.0
320,2007-09,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",100.0
321,2007-10,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",100.0
322,2007-11,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",101.1
323,2007-12,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",101.1
324,2008-01,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",102.6
325,2008-02,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",102.6
326,2008-03,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",101.3
327,2008-04,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",101.3
328,2008-05,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",101.3
329,2008-06,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",101.7
330,2008-07,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",101.7
331,2008-08,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",101.1
332,2008-09,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",101.1
333,2008-10,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",101.3
334,2008-11,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",101.3
335,2008-12,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",101.3
336,2009-01,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",101.4
337,2009-02,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",102.0
338,2009-03,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",101.5
339,2009-04,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",101.5
340,2009-05,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",102.1
341,2009-06,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",102.1
342,2009-07,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",102.1
343,2009-08,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",102.1
344,2009-09,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",102.1
345,2009-10,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",101.3
